,Temporada,round,game_id,date,fixture,team_id,team_name,possession,opponent_possession,place,PPDA,defensive_intensity,defensive_duels_won_%,defensive_height,opposition_pass_tempo,opposition_progression_percentage,opp_final_third_to_box_%,Opposition_xT,high_turnovers,turnover_line_height,recoveries_within_5s_%,avg_time_to_defensive_action,avg_recovery_time,opposition_final_third_entries_10s,opposition_box_entries_10s,opposition_xG_10s,recoveries,recovery_height,retained_possessions_5s,retained_possessions_5s_%,final_third_entries_10s,box_entries_10s,xG_10s,xT_10s,field_tilt_%,long_ball_%,pass_tempo,final_third_entries_%,final_third_to_box_entries_%,xT,penalty_area_touches,box_entries_to_shot_%,np_shots,high_opportunity_shots,np_xg,np_goals,xg_per_shot,ball_in_play,total_xg,goal_difference,goals_conceded,goals_scored
0,2026,1,1955925,2026-01-28,Fluminense 2.0 x 1.0 Gremio,1232,Fluminense,49.69,50.31,Casa,10.266666666666667,83.48240906380441,0.4696969696969697,34.57171052631579,17.25,50.0,20.454545454545457,1.690072866412761,46.2869792714832,57.99965034965035,24.390243902439025,41.44055944055944,59.37062937062937,25,8,0.0,81.49473265752334,39.63109756097561,53,44.537815126050425,24,3,0.0,2.120232848460707,47.342088805503444,6.728538283062645,19.936708860759495,39.175257731958766,43.63636363636363,9.956190584014536,29,25.0,10,3.0,1.2213263871094842,2.0,0.12213263871094841,21.066666666666666,1.2213263871094842,1,1,2.0
1,2026,1,1955925,2026-01-28,Fluminense 2.0 x 1.0 Gremio,1244,Gremio,50.31,49.69,Fora,13.666666666666666,80.49909438518817,0.6481481481481481,32.8469696969697,19.936708860759495,34.02061855670103,25.0,1.3766408673262105,54.661101172729076,55.81799999999999,22.5,53.717241379310344,80.84722222222223,24,3,0.0,80.49909438518817,38.364375,54,59.34065934065934,25,8,1.4561691557149916,1.7910557956213566,52.65791119449656,9.974424552429667,17.25,54.285714285714285,41.81818181818181,8.824969492770936,38,26.08695652173913,12,2.0,1.5972132381092823,1.0,0.13310110317577353,21.333333333333332,1.5972132381092823,-1,2,1.0
2,2026,1,1955931,2026-01-28,Corinthians 1.0 x 2.0 Bahia,1221,Bahia,38.58,61.42,Fora,11.653846153846153,56.9846955389124,0.6071428571428571,37.84334862385321,19.306451612903224,52.94117647058824,32.608695652173914,1.883642331181364,68.68843960601349,55.82454545454545,24.050632911392405,51.18666666666667,73.43333333333334,36,10,0.12781575922827593,64.31129925105829,40.64430379746835,51,40.8,22,12,0.8614429051518149,1.5808561271034252,41.97256210604375,8.561643835616438,21.7201540436457,37.234042553191486,34.92063492063492,7.124889254042049,22,13.636363636363635,10,1.0,0.8336861772995302,1.0,0.08336861772995302,12.983333333333333,0.8336861772995302,1,1,2.0
3,2026,1,1955931,2026-01-28,Corinthians 1.0 x 2.0 Bahia,1237,Corinthians,61.42,38.58,Casa,9.192307692307692,102.38465526179368,0.7076923076923077,34.65403846153846,21.7201540436457,31.914893617021278,16.27906976744186,1.0843969874524308,34.190817323347446,57.21873134328358,16.842105263157894,54.64661654135338,64.53435114503817,22,12,0.8614429051518149,123.12078797304302,39.2291052631579,64,61.53846153846154,36,10,0.12781575922827593,2.8169833474549417,58.02743789395625,8.15347721822542,19.306451612903224,55.294117647058826,47.61904761904761,10.848721231838324,39,33.33333333333333,17,3.0,1.3416649476917608,1.0,0.07892146751128004,20.666666666666668,1.3416649476917608,-1,2,1.0
4,2026,1,1955937,2026-01-28,Atletico MG 2.0 x 2.0 Palmeiras,1234,Palmeiras,43.93,56.07,Fora,8.571428571428571,52.612805421794185,0.6274509803921569,37.46679999999999,18.514588859416445,43.83561643835616,17.142857142857142,1.2295869686692074,47.80332346915547,56.06256637168141,16.666666666666664,96.79629629629629,138.90654205607476,23,9,0.28798516329326274,42.803638309256286,50.2490625,54,56.25,25,14,1.156770204908392,1.2132570360230133,45.627251883393384,7.9470198675496695,19.774266365688487,26.76056338028169,57.14285714285714,7.692461625775601,27,33.33333333333333,14,2.0,2.521492197338421,3.0,0.18010658552417294,14.766666666666667,2.521492197338421,2,1,3.0
5,2026,1,1955937,2026-01-28,Atletico MG 2.0 x 2.0 Palmeiras,1235,Atletico MG,56.07,43.93,Casa,7.54054054054054,75.11950830867289,0.7258064516129032,39.83856382978723,19.774266365688487,21.12676056338028,21.052631578947366,1.1972671814104705,24.07704654895666,57.812,27.77777777777778,67.33333333333333,99.98095238095237,25,14,1.156770204908392,61.46141588891418,43.91333333333333,50,55.55555555555556,23,9,0.28798516329326274,1.675052265674462,54.372748116606616,8.264462809917356,18.514588859416445,49.31506849315068,36.95652173913043,8.526830990174451,21,17.647058823529413,14,1.0,0.8658597167323968,1.0,0.06184712262374263,18.85,0.8658597167323968,-2,3,1.0
6,2026,1,1955940,2026-01-28,Internacional 0.0 x 1.0 Athletico Paranaense,1243,Athletico Paranaense,23.82,76.18,Fora,18.2,44.631136781307426,0.6086956521739131,31.7053125,18.485730926033778,51.81818181818182,23.28767123287671,2.4420190738222294,149.03442485306465,46.82697841726619,32.3943661971831,58.13868613138686,75.05925925925926,39,19,0.7582125628047647,46.60015752165923,39.42971830985915,38,48.10126582278481,25,7,0.644826198908657,1.1179126835216744,25.49225518508795,12.021857923497267,18.77094972067039,41.42857142857143,37.83783783783784,4.180802310452589,18,14.285714285714285,6,3.0,0.5773958283897929,1.0,0.09623263806496547,8.95,0.5773958283897929,1,0,1.0
7,2026,1,1955940,2026-01-28,Internacional 0.0 x 1.0 Athletico Paranaense,1219,Internacional,76.18,23.82,Casa,6.7,119.64735516372795,0.6578947368421053,41.9358947368421,18.77094972067039,37.142857142857146,22.727272727272727,0.6079166210602892,32.1606720924127,61.765,33.80281690140845,48.6875,72.06875,25,7,0.644826198908657,149.03442485306465,48.78359154929578,73,48.99328859060403,39,19,0.7582125628047647,2.745289676457126,74.50774481491204,4.62962962962963,18.485730926033778,55.45454545454545,45.744680851063826,14.886989234464453,63,23.25581395348837,19,3.0,1.8442544450028657,0.0,0.09706602342120346,28.616666666666667,1.8442544450028657,-1,1,0.0
8,2026,1,1955943,2026-01-28,Coritiba 0.0 x 1.0 Red Bull Bragantino,1236,Coritiba,17.98,82.02,Casa,10.851851851851851,58.52231163130944,0.5972222222222222,29.1271875,14.927710843373493,56.09756097560976,20.689655172413794,2.3138821545309707,152.9477196885428,44.34960526315789,26.38888888888889,42.06422018348624,89.72897196261682,30,14,0.8426561724713166,43.891733723482076,38.01729166666667,27,27.0,22,4,0.08865983659451358,0.8762735731227431,26.883843369529455,18.181818181818183,20.604395604395606,40.21739130434783,25.0,3.11921877964218,6,18.181818181818183,8,0.0,0.41962821976245734,0.0,0.05245352747030717,6.066666666666666,0.41962821976245734,-1,1,0.0
9,2026,1,1955943,2026-01-28,Coritiba 0.0 x 1.0 Red Bull Bragantino,5438,Red Bull Bragantino,82.02,17.98,Fora,5.655172413793103,150.16685205784205,0.9,40.871249999999996,20.604395604395606,35.869565217391305,8.333333333333332,0.3504991154526764,19.50743721043648,65.3983448275862,28.57142857142857,57.83448275862069,72.03472222222223,22,4,0.08865983659451358,194.6607341490545,42.793499999999995,76,72.38095238095238,30,14,0.8426561724713166,2.3679699823774176,73.11615663047056,8.837209302325581,14.927710843373493,62.19512195121951,44.44444444444444,11.704401988172544,42,28.125,30,5.0,2.3238713105094195,1.0,0.07746237701698065,27.666666666666668,2.3238713105094195,1,0,1.0
